id,name,nrate,pic_url
9220,Saboteur,19128,https://cf.geekdo-images.com/micro/img/3B37Uwvvyr_pKbE2eaItG3GVBYY=/fit-in/64x64/pic3989824.jpg
143884,Machi Koro,18973,https://cf.geekdo-images.com/micro/img/OEy-F68i7FEdUfEJ_VZHH0BY32Y=/fit-in/64x64/pic1992476.jpg
122522,Smash Up,18743,https://cf.geekdo-images.com/micro/img/UChCuZEtu2FiKbc2-PjkP3bD1I0=/fit-in/64x64/pic1269874.jpg
132531,Roll for the Galaxy,18738,https://cf.geekdo-images.com/micro/img/GLaz1vjN1tqPdHsLZxlL6OSd7EA=/fit-in/64x64/pic1473629.jpg
181304,Mysterium,18728,https://cf.geekdo-images.com/micro/img/8tkDsBMFLmVtUHU8mlauVJrHBKA=/fit-in/64x64/pic2601683.jpg
2453,Blokus,18670,https://cf.geekdo-images.com/micro/img/Ch_6I6t2Vs_lRqwxNo0gjRsmZfA=/fit-in/64x64/pic2197702.jpg
136063,Forbidden Desert,18387,https://cf.geekdo-images.com/micro/img/i_1QoRrHogI7YqRysz40Gm3olT4=/fit-in/64x64/pic1528722.jpg
16992,Tsuro,18018,https://cf.geekdo-images.com/micro/img/bXHA_2rbtBtgGcgXA7IsP08IvF4=/fit-in/64x64/pic875761.jpg
172,For Sale,17966,https://cf.geekdo-images.com/micro/img/upeldAvxrrbMrgUTRdvoUBcDXss=/fit-in/64x64/pic1513085.jpg
100423,Elder Sign,17765,https://cf.geekdo-images.com/micro/img/tLPzw_Ch5Dgcraddni8fWagiaJI=/fit-in/64x64/pic1236119.jpg
104162,Descent: Journeys in the Dark (Second Edition),17463,https://cf.geekdo-images.com/micro/img/0zuJyv86GA3v2kEMf7CY_HD579E=/fit-in/64x64/pic1180640.jpg
123260,Suburbia,17372,https://cf.geekdo-images.com/micro/img/ItLTGgZwWfsXYU-X4CMESo7SYOE=/fit-in/64x64/pic1418335.jpg
50381,Cards Against Humanity,17325,https://cf.geekdo-images.com/micro/img/29b5G9RKSz1nkpIB4_CXAr7jsh4=/fit-in/64x64/pic2909692.jpg
2993,Carcassonne: Expansion 1 – Inns & Cathedrals,17121,https://cf.geekdo-images.com/micro/img/Q6UhcTPHigRW19c2foV7YV1PMLs=/fit-in/64x64/pic2659943.jpg
77423,The Lord of the Rings: The Card Game,16825,https://cf.geekdo-images.com/micro/img/cn2Gt4jEModGX4mNEUJgwbhlyMI=/fit-in/64x64/pic906495.jpg
116,Guillotine,16785,https://cf.geekdo-images.com/micro/img/x8VE7f6bZ5Q0X_OGUo8U--SOgkA=/fit-in/64x64/pic143139.jpg
155426,Castles of Mad King Ludwig,16776,https://cf.geekdo-images.com/micro/img/-iJbBppJ8Qwe-WCgtnP2Zj6JCm0=/fit-in/64x64/pic1961827.jpg
148949,Istanbul,16673,https://cf.geekdo-images.com/micro/img/ZRY73dm8LCK5UlyXjE9AGSr0Oa4=/fit-in/64x64/pic1885326.jpg
8203,"Hey, That's My Fish!",16653,https://cf.geekdo-images.com/micro/img/GabtRso6cHsfA9iJV4gj7r8iHpk=/fit-in/64x64/pic1004115.jpg
12493,Twilight Imperium (Third Edition),16573,https://cf.geekdo-images.com/micro/img/DX1nX1JYHVRQXhoPMaDgaHfezsg=/fit-in/64x64/pic4128153.jpg
12,Ra,16558,https://cf.geekdo-images.com/micro/img/dLCB1zVufOOwUH41u39hwZSunmE=/fit-in/64x64/pic3013552.jpg
27162,Kingsburg,16509,https://cf.geekdo-images.com/micro/img/GS5h9JsTnnRffdVZsntdNFlsCZ8=/fit-in/64x64/pic253057.jpg
